300	1.77205583	0.00730684757
310	1.76769629	0.00493795555
320	1.76397468	0.00334343118
330	1.76082136	0.0022722153
340	1.75815414	0.00155209199
350	1.75589349	0.00106671204
360	1.75396898	0.000738195384
370	1.75232106	0.000514669438
380	1.75090067	0.000361644842
390	1.74966797	0.000256175676
400	1.74859081	0.000182958906
410	1.74764332	0.00013175012
420	1.74680461	9.56584712e-005
430	1.74605782	7.00231642e-005
440	1.74538921	5.16725277e-005
450	1.74478757	3.84342239e-005
460	1.74424364	2.88103102e-005
470	1.7437498	2.1760706e-005
480	1.74329964	1.65581571e-005
490	1.74288783	1.26905468e-005
500	1.74250983	9.79470305e-006
510	1.7421618	7.61126931e-006
520	1.74184045	5.95374037e-006
530	1.74154294	4.68707914e-006
540	1.74126684	3.71285414e-006
550	1.74101001	2.95884163e-006
560	1.74077061	2.37170418e-006
570	1.740547	1.91180222e-006
580	1.74033776	1.54949375e-006
590	1.74014161	1.26247889e-006
600	1.73995744	1.0338824e-006
610	1.73978423	8.50860787e-007
620	1.7396211	7.03584415e-007
630	1.73946725	5.84489313e-007
640	1.73932195	4.87724142e-007
650	1.73918456	4.08739104e-007
660	1.7390545	3.43978716e-007
670	1.73893122	2.90650976e-007
680	1.73881425	2.46553034e-007
690	1.73870315	2.09938877e-007
700	1.73859752	1.79418388e-007
710	1.73849699	1.5387999e-007
720	1.73840124	1.32431076e-007
730	1.73830994	1.14351925e-007
740	1.73822283	9.90598955e-008
750	1.73813964	8.60814846e-008
760	1.73806014	7.50304294e-008
770	1.7379841	6.55904748e-008
780	1.73791132	5.75017592e-008
790	1.73784161	5.05500154e-008
800	1.7377748	4.45579729e-008
810	1.73771072	3.93784863e-008
820	1.73764922	3.4889025e-008
830	1.73759017	3.09872363e-008
840	1.73753343	2.75873634e-008
850	1.73747888	2.46173415e-008
860	1.7374264	2.20164373e-008
870	1.7373759	1.97333237e-008
880	1.73732726	1.77245042e-008
890	1.73728041	1.59530199e-008
900	1.73723524	1.43873855e-008
910	1.73719168	1.30007107e-008
920	1.73714966	1.17699729e-008
930	1.73710909	1.06754133e-008
940	1.73706991	9.70003462e-009
950	1.73703206	8.82918141e-009
960	1.73699548	8.05018932e-009
970	1.73696011	7.35209065e-009
980	1.73692589	6.72536682e-009
990	1.73689278	6.16173975e-009
1000	1.73686072	5.65399556e-009
1010	1.73682968	5.19583532e-009
1020	1.73679961	4.78174832e-009
1030	1.73677047	4.40690437e-009
1040	1.73674221	4.06706188e-009
1050	1.73671482	3.75848943e-009
1060	1.73668824	3.47789862e-009
1070	1.73666244	3.22238645e-009
1080	1.73663741	2.98938584e-009
1090	1.7366131	2.776623e-009
1100	1.73658948	2.58208068e-009
1110	1.73656654	2.40396638e-009
1120	1.73654424	2.24068488e-009
1130	1.73652257	2.09081434e-009
1140	1.73650149	1.95308561e-009
1150	1.73648099	1.82636418e-009
1160	1.73646104	1.70963447e-009
1170	1.73644163	1.60198606e-009
1180	1.73642273	1.50260174e-009
1190	1.73640433	1.41074697e-009
1200	1.73638641	1.32576063e-009
1210	1.73636895	1.24704695e-009
1220	1.73635194	1.17406838e-009
1230	1.73633537	1.10633929e-009
1240	1.7363192	1.04342042e-009
1250	1.73630345	9.84913996e-010
1260	1.73628808	9.30459397e-010
1270	1.73627309	8.79729303e-010
1280	1.73625846	8.32426297e-010
1290	1.73624419	7.88279832e-010
1300	1.73623025	7.47043544e-010
1310	1.73621665	7.08492854e-010
1320	1.73620337	6.72422826e-010
1330	1.7361904	6.38646266e-010
1340	1.73617773	6.06992009e-010
1350	1.73616534	5.773034e-010
1360	1.73615325	5.49436923e-010
1370	1.73614142	5.23260976e-010
1380	1.73612986	4.98654769e-010
